"","DeployID","Ptt","DepthSensor","Source","Instr","Count","Start","End","LocationQuality","Latitude","Longitude","MinDepth","MinDepthAccuracy","MaxDepth","MaxDepthAccuracy","MinTemp","MinTempAccuracy","MaxTemp","MaxTempAccuracy","MobMean","MobSD","ActivitySum"
"103","ZcTag082",180754,1,"Transmission","Mk10",25,"04:00:00 15-May-2019","08:00:00 15-May-2019",NA,NA,NA,0,0,2288,31.5,NA,NA,NA,NA,NA,NA,NA
"104","ZcTag082",180754,1,"Transmission","Mk10",18,"08:00:00 15-May-2019","12:00:00 15-May-2019",NA,NA,NA,0,0,1296,15.5,NA,NA,NA,NA,NA,NA,NA
"105","ZcTag082",180754,1,"Transmission","Mk10",11,"12:00:00 15-May-2019","16:00:00 15-May-2019",NA,NA,NA,0,0,960,7.5,NA,NA,NA,NA,NA,NA,NA
"106","ZcTag082",180754,1,"Transmission","Mk10",15,"16:00:00 15-May-2019","20:00:00 15-May-2019",NA,NA,NA,0,0,1232,15.5,NA,NA,NA,NA,NA,NA,NA
"107","ZcTag082",180754,1,"Transmission","Mk10",8,"20:00:00 15-May-2019","00:00:00 16-May-2019",NA,NA,NA,0,0,1232,15.5,NA,NA,NA,NA,NA,NA,NA
"108","ZcTag082",180754,1,"Transmission","Mk10",14,"00:00:00 16-May-2019","04:00:00 16-May-2019",NA,NA,NA,0,0,1104,15.5,NA,NA,NA,NA,NA,NA,NA
"109","ZcTag082",180754,1,"Transmission","Mk10",14,"04:00:00 16-May-2019","08:00:00 16-May-2019",NA,NA,NA,0,0,1104,15.5,NA,NA,NA,NA,NA,NA,NA
"110","ZcTag082",180754,1,"Transmission","Mk10",10,"08:00:00 16-May-2019","12:00:00 16-May-2019",NA,NA,NA,0,0,1232,15.5,NA,NA,NA,NA,NA,NA,NA
"111","ZcTag082",180754,1,"Transmission","Mk10",11,"12:00:00 16-May-2019","16:00:00 16-May-2019",NA,NA,NA,0,0,1168,15.5,NA,NA,NA,NA,NA,NA,NA
"112","ZcTag082",180754,1,"Transmission","Mk10",10,"16:00:00 16-May-2019","20:00:00 16-May-2019",NA,NA,NA,0,0,944,7.5,NA,NA,NA,NA,NA,NA,NA
"113","ZcTag082",180754,1,"Transmission","Mk10",8,"20:00:00 16-May-2019","00:00:00 17-May-2019",NA,NA,NA,0,0,1264,15.5,NA,NA,NA,NA,NA,NA,NA
"114","ZcTag082",180754,1,"Transmission","Mk10",10,"00:00:00 17-May-2019","04:00:00 17-May-2019",NA,NA,NA,0,0,1296,15.5,NA,NA,NA,NA,NA,NA,NA
