DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
ZcTag084,180753,Mk10,23:17:28 04-Jun-2019,Argos,B,35.7541,-74.8837,9712,26045,3621,59,,,,,,
ZcTag084,180753,Mk10,23:47:49 04-Jun-2019,Argos,0,35.5426,-75.1497,15772,203387,1223,90,,,,,,
ZcTag084,180753,Mk10,00:33:42 05-Jun-2019,Argos,A,35.8288,-74.8192,4042,12641,1292,94,,,,,,
ZcTag084,180753,Mk10,00:33:55 05-Jun-2019,Argos,0,35.5451,-74.5827,4790,24918,920,172,,,,,,
ZcTag084,180753,Mk10,00:56:20 05-Jun-2019,Argos,0,35.4710,-74.5797,6364,10361,3908,93,,,,,,
ZcTag084,180753,Mk10,01:09:05 05-Jun-2019,Argos,B,35.4383,-74.7827,4233,14091,1271,157,,,,,,
ZcTag084,180753,Mk10,01:22:21 05-Jun-2019,Argos,B,35.4467,-74.7810,5041,7444,3413,150,,,,,,
ZcTag084,180753,Mk10,02:51:32 05-Jun-2019,Argos,0,35.4773,-74.7664,7404,45514,1204,71,,,,,,
ZcTag084,180753,Mk10,09:18:29 05-Jun-2019,Argos,0,35.5095,-74.7763,3429,27852,422,53,,,,,,
ZcTag084,180753,Mk10,12:48:40 05-Jun-2019,Argos,1,35.6101,-74.7419,644,5775,71,112,,,,,,
ZcTag084,180753,Mk10,12:49:40 05-Jun-2019,Argos,B,35.6104,-74.7427,621,2602,148,111,,,,,,
ZcTag084,180753,Mk10,13:35:33 05-Jun-2019,Argos,0,35.5869,-74.6051,2416,7596,768,24,,,,,,
ZcTag084,180753,Mk10,14:39:38 05-Jun-2019,Argos,A,35.5705,-74.5451,5789,7031,4766,80,,,,,,
ZcTag084,180753,Mk10,15:10:01 05-Jun-2019,Argos,0,35.6713,-74.3291,13175,38532,4504,130,,,,,,
ZcTag084,180753,Mk10,15:10:06 05-Jun-2019,Argos,0,35.4440,-74.1513,11483,30806,4280,109,,,,,,
ZcTag084,180753,Mk10,20:58:10 05-Jun-2019,Argos,0,35.6399,-74.6690,2507,4642,1353,86,,,,,,
ZcTag084,180753,Mk10,22:34:31 05-Jun-2019,Argos,0,35.4561,-74.5759,27834,145587,5321,72,,,,,,
ZcTag084,180753,Mk10,23:17:00 05-Jun-2019,Argos,0,35.4725,-74.5411,12299,115773,1306,105,,,,,,
ZcTag084,180753,Mk10,00:07:49 06-Jun-2019,Argos,0,35.6252,-74.5715,6786,76094,605,97,,,,,,
ZcTag084,180753,Mk10,00:09:20 06-Jun-2019,Argos,A,35.4753,-74.4785,9839,29144,3321,83,,,,,,
ZcTag084,180753,Mk10,01:28:16 06-Jun-2019,Argos,0,35.5899,-74.7022,1641,9326,288,95,,,,,,
ZcTag084,180753,Mk10,01:55:33 06-Jun-2019,Argos,0,35.5609,-74.7134,4297,31502,586,85,,,,,,
ZcTag084,180753,Mk10,08:48:22 06-Jun-2019,Argos,0,35.6521,-74.5854,4620,19573,1090,135,,,,,,
ZcTag084,180753,Mk10,09:18:20 06-Jun-2019,Argos,0,35.7381,-74.6209,5359,15439,1859,79,,,,,,
ZcTag084,180753,Mk10,11:10:44 06-Jun-2019,Argos,B,35.7829,-74.6121,9905,13571,7229,84,,,,,,
ZcTag084,180753,Mk10,12:33:55 06-Jun-2019,Argos,0,35.3605,-74.5073,23229,106250,5078,28,,,,,,
ZcTag084,180753,Mk10,13:18:10 06-Jun-2019,Argos,B,35.3084,-74.4890,23891,51464,11091,30,,,,,,
ZcTag084,180753,Mk10,13:18:38 06-Jun-2019,Argos,0,35.3032,-74.5044,9187,20444,4128,119,,,,,,
ZcTag084,180753,Mk10,21:55:30 06-Jun-2019,Argos,0,35.4297,-74.5530,11856,89255,1574,66,,,,,,
ZcTag084,180753,Mk10,22:33:47 06-Jun-2019,Argos,B,35.3905,-74.5656,12273,41923,3592,67,,,,,,
ZcTag084,180753,Mk10,23:37:36 06-Jun-2019,Argos,0,35.4927,-74.7691,1842,23360,145,85,,,,,,
ZcTag084,180753,Mk10,23:52:06 06-Jun-2019,Argos,1,35.5643,-74.4037,1051,2122,520,164,,,,,,
ZcTag084,180753,Mk10,00:33:30 07-Jun-2019,Argos,0,35.4936,-74.5882,4839,15672,1493,7,,,,,,
ZcTag084,180753,Mk10,00:34:38 07-Jun-2019,Argos,0,35.5131,-74.5238,4076,5536,3000,76,,,,,,
ZcTag084,180753,Mk10,02:08:07 07-Jun-2019,Argos,0,35.5917,-74.6839,3808,51037,284,89,,,,,,
ZcTag084,180753,Mk10,02:15:49 07-Jun-2019,Argos,B,35.5914,-74.6834,5527,10031,3044,89,,,,,,
ZcTag084,180753,Mk10,09:10:46 07-Jun-2019,Argos,1,35.6012,-74.6380,1221,3267,456,53,,,,,,
ZcTag084,180753,Mk10,10:50:18 07-Jun-2019,Argos,0,35.6194,-74.5734,6215,60699,636,108,,,,,,
ZcTag084,180753,Mk10,12:58:30 07-Jun-2019,Argos,0,35.7212,-74.7413,7368,57021,952,89,,,,,,
