"","DeployID","Ptt","DepthSensor","Source","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Temperature","TRange","Activity","ARange"
"109","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","21:50:00",NA,NA,NA,166,22,NA,NA,NA,NA
"110","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","21:55:00",NA,NA,NA,64,10.5,NA,NA,NA,NA
"111","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","22:00:00",NA,NA,NA,332,43,NA,NA,NA,NA
"112","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","22:05:00",NA,NA,NA,405,43.5,NA,NA,NA,NA
"113","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","22:10:00",NA,NA,NA,332,43,NA,NA,NA,NA
"114","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","22:15:00",NA,NA,NA,64,10.5,NA,NA,NA,NA
"115","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","22:20:00",NA,NA,NA,129,21,NA,NA,NA,NA
"116","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","22:25:00",NA,NA,NA,258,41.5,NA,NA,NA,NA
"117","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","22:30:00",NA,NA,NA,332,43,NA,NA,NA,NA
"118","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","22:35:00",NA,NA,NA,258,41.5,NA,NA,NA,NA
"119","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","22:40:00",NA,NA,NA,92,20.5,NA,NA,NA,NA
"120","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","22:45:00",NA,NA,NA,64,10.5,NA,NA,NA,NA
"121","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","22:50:00",NA,NA,NA,258,41.5,NA,NA,NA,NA
"122","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","22:55:00",NA,NA,NA,332,43,NA,NA,NA,NA
"123","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","23:00:00",NA,NA,NA,258,41.5,NA,NA,NA,NA
"124","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","23:05:00",NA,NA,NA,129,21,NA,NA,NA,NA
