"","DeployID","Ptt","DepthSensor","Source","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Temperature","TRange","Activity","ARange","dive_labels"
"2973","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",20:30:00,NA,NA,NA,250,39.5,NA,NA,NA,NA,497
"2974","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",20:35:00,NA,NA,NA,250,39.5,NA,NA,NA,NA,497
"2975","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",20:40:00,NA,NA,NA,9,9.5,NA,NA,NA,NA,0
"2976","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",20:45:00,NA,NA,NA,197,21,NA,NA,NA,NA,498
"2977","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",20:50:00,NA,NA,NA,250,39.5,NA,NA,NA,NA,498
"2978","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",20:55:00,NA,NA,NA,161,21,NA,NA,NA,NA,498
"2979","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",21:00:00,NA,NA,NA,9,9.5,NA,NA,NA,NA,0
"2980","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",21:05:00,NA,NA,NA,161,21,NA,NA,NA,NA,499
"2981","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",21:10:00,NA,NA,NA,250,39.5,NA,NA,NA,NA,499
"2982","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",21:15:00,NA,NA,NA,250,39.5,NA,NA,NA,NA,499
"2983","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",21:20:00,NA,NA,NA,161,21,NA,NA,NA,NA,499
"2984","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",21:25:00,NA,NA,NA,9,9.5,NA,NA,NA,NA,0
"2985","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",21:30:00,NA,NA,NA,125,20,NA,NA,NA,NA,500
"2986","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",21:35:00,NA,NA,NA,197,21,NA,NA,NA,NA,500
"2987","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",21:40:00,NA,NA,NA,250,39.5,NA,NA,NA,NA,500
"2988","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",21:45:00,NA,NA,NA,250,39.5,NA,NA,NA,NA,500
"2989","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",21:50:00,NA,NA,NA,62,10.5,NA,NA,NA,NA,0
"2990","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",21:55:00,NA,NA,NA,125,20,NA,NA,NA,NA,501
"2991","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",22:00:00,NA,NA,NA,197,21,NA,NA,NA,NA,501
"2992","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",22:05:00,NA,NA,NA,250,39.5,NA,NA,NA,NA,501
"2993","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",22:10:00,NA,NA,NA,250,39.5,NA,NA,NA,NA,501
"2994","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",22:15:00,NA,NA,NA,250,39.5,NA,NA,NA,NA,501
"2995","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",22:20:00,NA,NA,NA,45,10,NA,NA,NA,NA,0
"2996","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",22:25:00,NA,NA,NA,125,20,NA,NA,NA,NA,502
"2997","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",22:30:00,NA,NA,NA,197,21,NA,NA,NA,NA,502
"2998","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",22:35:00,NA,NA,NA,250,39.5,NA,NA,NA,NA,502
"2999","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",22:40:00,NA,NA,NA,197,21,NA,NA,NA,NA,502
"3000","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",22:45:00,NA,NA,NA,161,21,NA,NA,NA,NA,502
"3001","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",22:50:00,NA,NA,NA,9,9.5,NA,NA,NA,NA,0
"3002","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",22:55:00,NA,NA,NA,322,41,NA,NA,NA,NA,503
"3003","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",23:00:00,NA,NA,NA,858,84,NA,NA,NA,NA,503
"3004","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",23:05:00,NA,NA,NA,858,84,NA,NA,NA,NA,503
"3005","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",23:10:00,NA,NA,NA,1002,87,NA,NA,NA,NA,503
"3006","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",23:15:00,NA,NA,NA,1002,87,NA,NA,NA,NA,503
"3007","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",23:20:00,NA,NA,NA,1002,87,NA,NA,NA,NA,503
"3008","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",23:25:00,NA,NA,NA,1002,87,NA,NA,NA,NA,503
"3009","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",23:30:00,NA,NA,NA,858,84,NA,NA,NA,NA,503
"3010","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",23:35:00,NA,NA,NA,715,82,NA,NA,NA,NA,503
"3011","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",23:40:00,NA,NA,NA,572,80,NA,NA,NA,NA,503
"3012","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",23:45:00,NA,NA,NA,393,41.5,NA,NA,NA,NA,503
"3013","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",23:50:00,NA,NA,NA,161,21,NA,NA,NA,NA,503
"3014","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",23:55:00,NA,NA,NA,89,19.5,NA,NA,NA,NA,0
"3015","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",00:00:00,NA,NA,NA,226,23.5,NA,NA,NA,NA,504
"3016","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",00:05:00,NA,NA,NA,288,45,NA,NA,NA,NA,504
"3017","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",00:10:00,NA,NA,NA,144,23,NA,NA,NA,NA,504
"3018","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",00:15:00,NA,NA,NA,72,12,NA,NA,NA,NA,0
"3019","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",00:20:00,NA,NA,NA,226,23.5,NA,NA,NA,NA,505
"3020","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",00:25:00,NA,NA,NA,288,45,NA,NA,NA,NA,505
"3021","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",00:30:00,NA,NA,NA,185,23.5,NA,NA,NA,NA,505
"3022","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",00:35:00,NA,NA,NA,51,11.5,NA,NA,NA,NA,0
"3023","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",00:40:00,NA,NA,NA,185,23.5,NA,NA,NA,NA,506
"3024","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",00:45:00,NA,NA,NA,226,23.5,NA,NA,NA,NA,506
"3025","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",00:50:00,NA,NA,NA,185,23.5,NA,NA,NA,NA,506
"3026","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",00:55:00,NA,NA,NA,10,10.5,NA,NA,NA,NA,0
"3027","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",01:00:00,NA,NA,NA,144,23,NA,NA,NA,NA,507
