Tag,Date,Time,Lat,Long,DataSource,Vessel,Category,Error_in_m,SightingNo,Comments
ZcTag089,6/2/19,16:20:17,35.578,-74.73422,Tagging,Barber,Approach,200,6,didn't enter sighting lat long as on same approach
ZcTag089,6/2/19,16:34:21,35.57707,-74.73451,Tracking,Barber,Approach,200,6a,
ZcTag089,6/2/19,17:32:57,35.56448,-74.72655,Tracking,Barber,Distant,1000,6b,
ZcTag089,6/2/19,17:53:49,35.57678,-74.72808,Sightings,Barber,Approach,200,7,resight with new animals so new sighting number
ZcTag089 ,6/2/19,18:19:09,35.5762,-74.7294,Tracking,Barber,Gonio,2500,,
ZcTag089,6/4/19,13:43:54,35.50607,-74.734,Tracking,Hog Wild,Gonio,2500,,
ZcTag089,6/7/19,12:47:17,35.49839,-74.79876,Tracking,Kahuna,Gonio,2500,,
ZcTag089,6/7/19,13:18:29,35.49226,-74.78726,Tracking,Barber,Approach,200,2,CEE day
ZcTag089,6/7/19,13:54:52,35.48923,-74.78692,Tracking,Barber,Approach,200,2a,CEE Day (also sightings from Kahuna removed as Barber closer)
ZcTag089,6/7/19,14:38:50,35.47711,-74.78011,Tracking,Barber,Distant,1000,2b,
ZcTag089,6/7/19,15:09:19,35.45971,-74.78889,Tracking,Barber,Gonio,2500,,
ZcTag089,6/7/19,17:04:25,35.51103,-74.75646,Tracking,Barber,Gonio,2500,,
ZcTag089,6/7/19,17:34:56,35.47223,-74.70154,Tracking,Barber,Gonio,2500,,
ZcTag089,6/7/19,18:14:18,35.48959,-74.69408,Tracking,Barber,Gonio,2500,,
ZcTag089,6/7/19,18:39:49,35.5155,-74.67573,Tracking,Barber,Distant,1000,2c,
ZcTag089,6/7/19,19:08:14,35.52649,-74.65304,Tracking,Barber,Distant,1000,2d,
ZcTag090,7/29/19,14:32:43,35.60232,-74.73718,Sightings,Barber,Approach,200,2,
ZcTag090,7/29/19,15:32:00,35.59326,-74.74687,Tagging,Barber,Fluke,50,2,
ZcTag090,7/29/19,15:54:05,35.58886,-74.74353,Tracking,Barber,Fluke,50,2,
ZcTag090,7/29/19,16:15:31,35.58463,-74.74173,Tracking,Barber,Fluke,50,2,
ZcTag090,8/11/19,14:39:17,35.52255,-74.7162,Tracking,Kahuna,Fluke,50,1,
ZcTag090,8/11/19,16:29:41,35.51203,-74.71808,Tracking,Kahuna,Fluke,50,1,
ZcTag091,7/29/19,19:07:08,35.61931,-74.74936,Tagging,Barber,Approach,200,5,
ZcTag091,7/30/19,14:09:18,35.56556,-74.74455,Tracking,Barber,Fluke,50,2,
ZcTag091,7/30/19,15:26:40,35.57576,-74.73747,Tracking,Barber,Gonio,2500,,
ZcTag091,7/30/19,14:34:49,35.57061,-74.73967,Tracking,Barber,Fluke,50,2,
ZcTag092,7/30/19,12:47:54,35.53593,-74.72588,Tagging,Barber,Approach,200,1,Initial sighting time and lat long not entered as tagged on first sighting
ZcTag092,7/30/19,13:02:06,35.53951,-74.72902,Tracking,Barber,Fluke,50,1,
